Name,Link,Price,Old Price,Year,Mileage,Gearbox,Fuel,Engine,Power,Color,Traction,Body Type,Seats,Consumption
Honda CR-V,https://interauto.md/vehicle/honda-cr-v-a72747/,370480.5,,2016,193.153 Km,Automată,Diesel,1600 cm3,160 CP,Negru,4x4,Crossover,5,"5.5 - 6.7 extraurban, 6.8 - 7.9 urban"
BMW 525,https://interauto.md/vehicle/bmw-525-a74449/,350980.5,,2014,175.159 Km,Automată,Diesel,2000 cm3,218 CP,Gri,4x4,Sedan,5,"6.2-7.2 extraurban, 7.8-8.4 urban"
Dacia Duster,https://interauto.md/vehicle/dacia-duster-a74478/,292480.5,,2019,146.269 Km,Manuală,Diesel,1500 cm3,115 CP,Gri,Față,Crossover,5,"4.5-5.3 extraurban, 5.8-6.5 urban"
Hyundai i20,https://interauto.md/vehicle/hyundai-i20-a74497/,136480.5,,2012,223.343 Km,Manuală,Diesel,1400 cm3,100 CP,Argintiu,Față,Hatchback,5,"4.4-4.8 extraurban, 4.8-5.5 urban"
Toyota Auris,https://interauto.md/vehicle/toyota-auris-a51747/,282730.5,,2017,130.000 Km,Manuală,Diesel,1364 cm3,90 CP,Gri,Față,Hatchback,5,"4.2-4.8 extraurban, 5.2-5.6 urban"
Ford Tourneo Courier,https://interauto.md/vehicle/ford-tourneo-courier-a73762/,185230.5,10999,2018,176.739 Km,Manuală,Diesel,1500 cm3,120 CP,Gri,Față,Microvan,5,"4.5-5.2 extraurban, 5.8-6.5 urban"
Skoda Kamiq,https://interauto.md/vehicle/skoda-kamiq-a74499/,360730.5,,2021,65.130 Km,Automată,Benzină,1500 cm3,150 CP,Negru,Față,Crossover,5,"5.5-6.2 extraurban, 7.4-8.2 urban"
Lexus CT 200h,https://interauto.md/vehicle/lexus-ct-200h-a74496/,233980.5,,2012,186.782 Km,Automată,Hybrid,1800 cm3,136 CP,Negru,Față,Hatchback,5,"4.9-5.4 extraurban, 4.4-4.7 urban"
Peugeot 108,https://interauto.md/vehicle/peugeot-108-a66027/,161830.5,,2018,179.000 Km,Automată,Benzină,999 cm3,68 CP,Alb,Față,Hatchback,5,"4.2 - 4.8 extraurban, 5.3 - 6.1 urban"
Toyota Prius Plus / V,https://interauto.md/vehicle/toyota-prius-plus-v-a74500/,233980.5,,2012,423.786 Km,Automată,Hybrid,1800 cm3,136 CP,Argintiu,Față,Universal,5,"4.9 - 5.4 extraurban, 4.4 - 4.7 urban"
